W_WP1	W_WP2	W_WP3	W_WP4	W_WP5	W_WP6	W_WP7	W_WP8	time
0.0011966121899722481	0.0011966121899722494	0.0011966121899722481	0.0011966121899722485	0.06849623798154149	0.0	0.0	0.06370978922165249	0
0.0011951059131815264	0.0011951059131815277	0.0011951059131815264	0.0011951059131815268	0.06849020904084058	0.0	0.0	0.06370978538811446	60
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	180
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	600
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1020
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1200
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1260
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1380
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1800
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2400
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3000
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3600
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4200
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4800
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5400
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6000
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6600
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7200
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7800
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8400
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9000
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9600
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10200
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10800
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11400
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12000
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12600
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13200
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13800
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14400
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15000
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15600
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16200
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16800
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17400
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18000
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18600
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19140
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19200
0.006011297667765282	0.006011297667765735	0.006011297667765282	0.006011297667765735	0.08784172405319288	0.0	0.0	0.06379653338213084	19260
0.006011297671611881	0.006011297671611877	0.006011297671611881	0.0060112976716118795	0.08784172406874706	0.0	0.0	0.06379653338229956	19380
0.006011297671611873	0.006011297671611872	0.006011297671611875	0.006011297671611875	0.08784172406874705	0.0	0.0	0.06379653338229953	19800
0.006011297671611873	0.006011297671611872	0.006011297671611875	0.006011297671611875	0.08784172406874705	0.0	0.0	0.06379653338229953	19980
0.006011297671611888	0.006011297671611888	0.006011297671611886	0.006011297671611885	0.08784172406874702	0.0	0.0	0.06379653338229947	20400
0.006011297671611888	0.006011297671611888	0.006011297671611886	0.006011297671611885	0.08784172406874702	0.0	0.0	0.06379653338229947	21000
0.006075019488994122	0.006075019488994122	0.0060750194889941204	0.006075019488994111	0.08809944108249988	0.0	0.0	0.06379936312652341	21600
0.006075019488994122	0.006075019488994122	0.0060750194889941204	0.006075019488994111	0.08809944108249988	0.0	0.0	0.06379936312652341	22200
0.006075019488994122	0.006075019488994122	0.0060750194889941204	0.006075019488994111	0.08809944108249988	0.0	0.0	0.06379936312652341	22500
0.006075019488995322	0.006075019488995323	0.006075019488995323	0.006075019488995323	0.08809944108250463	0.0	0.0	0.06379936312652335	22620
0.006075019488995315	0.006075019488995315	0.006075019488995315	0.006075019488995315	0.08809944108250463	0.0	0.0	0.06379936312652337	22740
0.006075019488995319	0.006075019488995318	0.006075019488995319	0.006075019488995319	0.08809944108250464	0.0	0.0	0.06379936312652336	22800
